date,policy,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
"March 2, 2020",The Illinois Department of Insurance issued a bulletin reinforcing the critical role that health insurance coverage plays during the COVID-19 outbreak. The bulletin encourages providers to be flexible when filling prescriptions in the event of quarantine.
"March 8, 2020",The Illinois Department of Insurance has released anFAQ documentabout insurance coveragerelated to COVID-19.
"March 10, 2020","In a press conference,GovernorPritzkerannouncedthathis office wouldfileemergency rules to allow thosewho areunemployed becausethey are sick to collect unemployment insuranceif permitted under federal law."
"March 12, 2020",GovernorPritzker orderedthe closure of public eventsof more than 1000 people for 30 days.
"March 13, 2020","Governor Pritzker announces two-week statewide school closure to minimize covid-19 spread, additional economic measures to reduce burden on Illinois families."
"March 15, 2020", The Governor announced all restaurants and bars will close for on-site consumption starting at 9 PM on Monday March 16.
"March 15, 2020"," The Governor, in response to the overcrowding and wait times at Chicago airports, announced that the federal government will be doubling U.S. CBP staff at OHare Airport."
"March 18, 2020", The Governor activated the national guard to address the anticipated need for logistical support and medical staff.
"March 18, 2020", The Governor stated he is prepared to order travel and quarantine restrictions in Illinois to limit the spread of coronavirus if scientific guidance recommends it.
"March 19, 2020", The Governor signed an executive order to expand telemedicine for individuals with Medicaid and private insurance.
"March 19, 2020"," The Governor ordered the Department of Revenue to defer sales tax payments for 24,000 small and medium sized bars and restaurants."
"March 20, 2020", The Governor issued Executive Order Number 20-10 implementing stay at home and social distancing requirements.
"March 20, 2020", The Governor issuedan executive order requiring all individuals currently living in the state of Illinois to stay at home.
"March 21, 2020", The Governor announced that healthcare license reinstatement would be processed on an expedited basis and that medical professionals whose licenses are expiring will have their licenses extended through the end of September.
"March 22, 2020", The Governor called for healthy individuals to assist with the states efforts during the crisis by going to serve.illinois.gov to be matched with service organizations to support the response effort.
"March 23, 2020"," The Illinois Department of Financial and Professional Regulation issued a proclamation to allow out-of-state physicians, nurses, physician assistants, and respiratory care therapists to provide care to Illinois residents."
"March 23, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Illinoiss request for a Section 1135 Medicaid waiver. The approved waiver enables Illinois to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines."
"March 24, 2020"," The Governor signed an executive order suspending healthcare worker background checks for individuals who are certified as a nurse assistant, but are currently inactive on the Health Care Worker Registry, may be hired under certain provisions."
